symbol	TCGA-91-6840	TCGA-78-8655	TCGA-NJ-A7XG	TCGA-38-4625	TCGA-38-4627	TCGA-85-A4QQ	TCGA-56-8628	TCGA-63-A5M9	TCGA-77-8128	TCGA-34-5231
AF064858.7	1	0	0	0	3	2	2	2	3	4
PET117	249	131	309	1031	290	254	120	349	216	567
	0	2	1	0	0	0	0	0	0	0
	0	6	1	20	2	0	0	0	0	32
	0	0	4	0	1	0	0	0	0	3
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	1	1	1	0
	0	0	2	8	1	6	0	0	2	5
	0	0	0	0	0	0	0	0	0	0
PTGES2-AS1	7	10	52	16	2	17	7	4	7	7
	0	0	0	1	0	0	0	0	0	0
	0	0	5	0	0	0	0	0	0	1
	0	0	0	0	0	0	0	0	0	0
AF131217.1	7	3	5	6	12	13	380	178	1243	2332
	0	0	0	0	0	0	1	0	0	0
RPL34P27	0	1	6	62	7	7	0	11	2	7
LYRM9	213	196	345	323	364	116	311	225	331	391
SMG7-AS1	25	20	21	62	10	30	51	68	44	90
	19	0	11	2	10	7	6	2	10	7
NUCKS1P1	0	1	0	2	0	1	0	0	0	1
	0	0	0	0	0	0	0	0	0	0
TRBV29-1	19	14	2	47	36	7	26	9	0	25
SEC1P	21	8	16	21	37	20	29	26	13	25
CTAGE3P	1	3	2	3	0	3	1	1	1	1
	1	0	0	2	1	1	0	0	0	2
RP11-135A1.2	2	3	14	5	0	15	12	4	8	2
	2	0	1	2	0	0	2	1	1	1
CTA-212D2.2	0	1	1	4	5	1	9	8	10	29
DPYD-AS1	0	251	7	118	0	7	0	5	0	4
	4	5	17	5	1	0	13	6	4	3
	1	0	2	0	0	1	0	1	0	0
	0	0	0	0	0	1	0	0	0	0
	6	7	8	39	3	2	13	11	14	34
	4	4	4	80	7	12	1	3	8	28
AF127936.3	3	6	0	10	20	5	5	9	3	12
	0	0	0	0	0	0	0	0	0	0
AF212831.2	0	0	0	0	0	0	2	1	4	11
	0	0	0	0	0	0	0	0	0	0
RPS11P5	20	25	28	883	45	81	31	137	44	169
	0	0	1	0	0	0	0	0	0	1
	0	0	4	1	3	1	4	1	0	0
RP11-267N12.1	0	0	0	1	0	1	0	0	0	1
IQCA1-AS1	3	0	2	0	4	0	0	1	0	0
MRPS31P2	1	1	1	3	0	0	0	0	0	6
	0	0	0	0	0	0	0	1	0	0
RP11-410K21.2	0	0	0	3	0	1	0	2	0	0
	0	0	0	1	0	1	0	2	1	2
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	2
CYCSP10	4	15	15	6	6	6	4	4	2	11
LINC01166	1	2	1	1	0	0	2	0	22	6
	0	0	0	1	0	0	0	0	1	1
	0	0	0	5	0	0	0	1	0	5
DLGAP4-AS1	24	4	41	34	18	66	27	10	8	57
	0	0	0	1	0	0	0	0	0	0
RP3-510O8.4	1	1	9	15	0	3	4	3	3	5
	0	0	0	0	0	0	0	0	0	0
RP5-1115A15.1	6	6	11	6	2	4	12	7	1	5
PLCE1-AS2	9	0	2	0	0	0	0	1	0	10
	0	0	0	0	0	0	0	0	0	0
	1	0	0	0	0	0	1	0	0	0
	0	1	0	15	0	0	1	3	2	1
HSPE1P6	0	1	1	21	1	6	2	5	4	5
	0	0	0	1	0	0	0	0	0	0
LINC01400	0	0	0	1	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	1
	0	0	0	0	0	0	1	0	0	0
	0	0	0	0	0	0	0	0	0	0
	8	7	28	12	4	3	30	40	10	21
	0	0	0	1	0	0	0	0	0	0
	0	0	24	1	0	4	5	1	0	5
	0	0	0	0	0	0	0	0	0	0
LINC00342	198	1675	12790	104	61	736	790	574	214	625
RP11-324O2.3	12	21	63	24	5	4	46	16	9	52
	0	0	0	0	0	0	0	0	0	0
RP11-80H5.2	3	1	0	4	0	3	1	6	13	12
	0	0	0	0	0	0	0	0	0	0
RPL23AP87	1	5	2	8	46	24	1	1	0	3
	0	0	0	0	0	0	0	0	0	0
	35	20	43	46	11	16	27	51	27	79
	0	0	0	3	1	0	0	2	1	0
	0	0	0	0	0	0	0	0	0	0
	4	1	1	4	0	2	0	2	0	7
	0	0	0	0	0	0	0	0	0	1
	0	0	0	0	0	0	0	0	0	0
AC002480.4	2	3	0	5	41	0	7	7	1	1
	1	0	0	0	0	0	0	0	0	0
	0	0	0	27	0	0	1	0	1	2
	2	0	0	88	0	2	0	4	1	3
	1	0	0	3	0	0	2	2	0	2
LINC00374	0	0	0	0	0	0	1	0	0	0
SNHG15	244	804	2855	2529	581	1360	507	174	1397	3760
	0	0	0	0	0	0	0	0	0	0
	0	0	0	1	0	0	0	0	1	0
	2	2	0	7	0	0	2	0	0	3
	0	0	0	0	0	0	0	4	0	0
	0	0	1	0	0	1	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
AP001062.9	1	0	1	0	0	0	1	1	0	0
	1	2	0	1	1	2	0	2	2	4
RP11-293A10.3	0	0	0	0	0	0	1	0	0	0
CYP1B1-AS1	13	35	50	154	69	8	56	44	10	41
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
LINC00327	5	14	6	5	27	3	9	54	12	12
RP11-146N23.4	0	0	0	0	2	0	0	0	2	0
	0	0	0	0	0	0	0	0	0	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	1	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
RP11-442O18.1	0	0	0	0	0	0	0	0	0	0
	0	0	2	0	0	0	0	1	0	0
LINC01219	2	0	2	7	0	0	0	1	5	1
	0	0	0	1	0	1	0	0	0	0
	0	0	0	0	0	0	0	0	0	2
	0	0	0	0	0	0	0	1	0	0
	0	0	1	3	0	1	0	0	0	1
RP11-334A14.5	0	0	0	0	0	0	0	0	0	0
RPL7P14	2	0	2	1	0	1	1	0	1	3
	40	45	67	73	27	76	54	104	64	143
VPS13A-AS1	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
AC005324.6	1	0	1	1	0	0	0	1	1	3
	0	1	2	3	0	1	0	0	0	0
AC067959.1	0	0	0	0	1	0	13	0	0	0
	47	90	499	42	24	85	122	104	62	126
	0	0	0	0	0	0	0	0	0	1
RP11-475O6.1	9	12	2	5	5	2	7	2	20	104
NALCN-AS1	7	4	3	0	7	3	16	11	13	1
	0	0	1	0	0	0	0	1	2	5
	0	0	0	0	0	0	0	0	1	0
HDAC1P2	2	0	0	2	1	1	7	12	14	10
FAM157B	7	9	2	5	5	1	7	8	23	5
	0	0	0	0	0	4	0	3	12	0
	11	0	0	0	0	0	0	4	1	0
SNHG7	564	1081	2758	2158	603	1657	710	1430	2886	3448
RP5-908M14.5	10	2	3	1	3	3	0	10	9	2
	0	0	1	0	0	1	1	0	1	2
	0	0	1	2	0	1	0	0	1	4
	0	0	0	0	1	0	2	0	0	0
RP11-1212A22.4	2	1	6	1	0	5	8	6	4	7
	3	5	13	7	1	2	26	10	6	33
	0	0	0	0	0	0	0	0	0	0
	15	0	0	2	5	0	2	0	0	1
RP11-439A17.9	4	6	2	6	12	0	7	1	6	10
RP11-196G18.3	13	4	29	6	7	11	21	38	26	48
	0	0	0	0	0	0	0	0	1	0
CASK-AS1	1	0	5	5	2	8	5	10	9	33
	0	0	0	0	0	0	0	0	0	0
	0	1	0	0	0	0	0	0	0	0
AC011899.9	27	146	18	197	258	30	139	50	21	77
	0	1	0	0	0	0	1	0	0	3
FAM204BP	1	1	0	1	0	0	0	1	0	2
PHGR1	0	0	0	0	1	0	1	0	0	2
RP1-137K2.2	0	0	1	0	0	0	0	0	0	0
AC097523.1	5	0	5	33	4	7	6	9	3	28
	0	0	0	0	0	0	0	0	0	0
RP5-1069C8.2	0	0	0	1	0	0	3	2	0	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	5
	0	0	0	1	1	4	0	0	5	0
ERVH48-1	14	3	17	10	3	6	7	6	7	9
	6	8	16	172	24	24	10	27	16	57
LINC00884	119	62	51	292	157	42	81	14	24	11
AC016700.2	0	0	0	0	0	2	1	0	2	0
	3	0	0	0	0	1	3	5	2	0
	0	0	1	2	0	0	0	0	0	0
RP3-380B8.4	3	0	5	4	7	0	14	0	1	1
PTCHD1-AS	0	0	2	1	0	1	0	0	3	1
RP1-140K8.1	0	0	0	0	3	1	2	0	0	9
RP5-930J4.2	0	0	0	0	0	0	1	0	0	0
ZFY-AS1	0	0	2	0	0	3	34	0	1	4
	0	0	0	0	0	0	0	0	0	0
RPS15AP6	1	0	0	3	1	5	2	5	1	5
AC005009.2	0	2	3	1	0	3	5	3	0	0
LINC01271	19	10	55	28	10	14	24	5	1	4
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	0
LINC01399	3	0	0	5	0	0	8	6	7	17
RP11-440G5.2	4	3	5	5	5	38	18	7	6	5
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
RPL23AP25	0	0	3	5	2	1	1	4	1	12
XXyac-YX65C7_A.3	0	0	0	0	4	7	2	0	2	13
RP11-375O18.2	1	0	0	1	0	0	0	0	0	0
	15	0	2	68	4	4	3	7	1	12
	0	0	3	1	1	0	0	0	1	0
LINC00892	14	19	8	84	35	2	17	52	2	8
RP11-520A21.1	0	0	0	0	1	0	2	3	1	0
CCDC144NL-AS1	807	22	46	45	332	16	228	24	115	1942
RP11-375A5.1	0	0	0	0	0	0	0	0	0	0
HOXB-AS3	18	177	23	47	319	11	32	94	55	318
	0	0	0	0	1	0	0	0	1	4
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	1	0	0	0	0
AC006042.7	3	1	2	4	2	0	5	4	0	0
	0	0	0	3	0	0	0	0	1	26
RP11-301L8.2	5	6	15	2	11	0	3	8	4	4
	0	1	0	46	5	4	3	1	0	21
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	1	0	0	0	0
LINC00702	17	22	10	447	457	112	42	16	167	35
	0	0	0	0	1	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	4	4	1	5	2	3	5	0	1	3
CTAGE7P	4	17	63	37	1	22	23	9	31	55
LINC01007	0	0	0	0	0	0	5	0	0	1
	5	0	0	0	0	1	0	0	0	1
	1	0	0	18	3	4	1	3	3	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	2
AC096649.1	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	2	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	0
	0	0	0	4	0	0	0	0	0	0
DIRC3-AS1	0	0	0	0	0	0	10	2	2	31
RP11-537A6.9	10	1	3	6	1	3	9	3	8	8
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	1	0	0	0
	1	0	0	0	0	0	1	1	4	0
UBE2E2-AS1	0	0	0	0	0	0	0	0	0	2
RP4-655J12.4	6	1	1	0	2	11	13	2	0	0
HMGA1P8	6	1	10	109	4	3	6	12	10	18
	0	0	0	0	0	0	0	0	0	0
	0	1	0	0	0	0	0	0	0	1
	0	0	0	2	1	2	0	2	4	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	1	2	1	1	0	1	1	2	3
	0	1	0	10	2	3	1	3	0	1
	41	16	39	112	37	9	16	15	9	41
	1	0	0	0	0	0	0	0	0	0
CTD-2020K17.3	33	11	68	104	5	62	50	94	110	69
	0	0	0	0	0	0	0	0	0	1
RP11-88I18.2	7	15	8	22	10	5	10	21	14	44
RP11-536P6.3	0	0	0	0	0	0	0	0	0	0
RP3-468B3.2	15	0	0	0	0	1	0	0	0	0
RP11-421L21.3	131	232	104	330	166	279	274	166	40	179
	0	1	1	0	0	0	1	1	0	1
	1	1	2	4	0	0	0	1	0	3
RPS24P13	0	0	0	2	0	0	38	1	23	5
AC006372.6	1	0	1	0	0	0	0	0	0	8
	0	1	0	0	0	0	0	0	0	1
	2	3	2	7	0	0	2	7	0	6
	0	0	0	0	0	0	0	0	0	0
RNF224	27	18	19	77	1	5	15	3	1	10
RP11-324I22.2	0	0	0	0	0	0	1	0	0	0
RP11-67L3.4	8	8	23	19	6	33	6	14	14	12
	0	0	0	0	0	0	0	0	0	2
	0	0	1	18	1	2	2	13	2	10
	0	0	0	0	0	0	0	1	0	2
LINC00642	0	0	0	0	2	1	2	1	0	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	1	0	0	0	0
AC002511.2	0	1	0	1	0	2	2	1	4	0
AP000472.2	1	0	0	119	0	0	2	6	0	3
	1	0	2	0	0	0	0	0	0	0
MROH3P	7	11	83	10	7	121	6	1	0	47
	0	0	1	0	0	1	2	0	0	1
LINC00167	1	1	1	3	2	4	12	0	6	6
AC133785.1	2	2	1	55	42	42	89	21	101	137
RP11-216N14.9	0	0	0	0	0	0	0	1	0	2
AC113189.5	55	132	227	241	247	118	170	333	190	286
	48	26	16	260	30	68	41	11	45	76
	0	0	0	0	0	0	1	0	0	1
CNOT7P1	1	1	1	14	0	0	0	1	0	1
AC079807.2	21	21	74	56	29	30	63	76	40	126
	5	4	28	5	1	9	34	14	11	20
NPIPB7	0	1	0	5	0	3	6	0	2	7
	0	0	0	0	0	0	0	0	0	0
	0	0	1	2	0	0	1	1	1	2
AP001171.1	0	0	0	0	0	0	0	4	0	2
LINC00472	40	16	12	719	25	2	21	50	3	29
	1	0	0	0	0	0	1	0	0	0
RP11-220I1.2	0	0	1	0	1	1	2	5	3	3
	0	1	0	2	0	0	0	0	0	0
RP11-415J8.5	0	1	3	6	5	1	3	0	1	14
	2	10	6	160	22	54	56	17	31	39
	0	0	0	0	0	0	0	0	0	0
RP3-339A18.6	3	1	6	6	1	10	18	3	3	10
AC007743.1	19	79	241	183	48	13	137	593	190	10
	0	0	0	0	0	0	1	0	0	0
RPL21P134	2	6	21	19	22	6	4	19	7	11
AC019181.2	69	0	0	3	0	1	3	90	3	20
RP11-445K13.2	10	0	0	9	0	0	1	1	2	2
RP11-219F10.1	0	0	0	1	5	0	0	0	0	0
	0	0	1	0	0	0	0	0	0	0
	2	0	1	9	0	1	0	2	2	13
LINC00264	1	2	0	3	1	1	2	2	0	1
RP11-380F14.2	0	0	0	1	0	0	0	0	0	2
	0	0	0	0	0	0	0	0	0	0
	12	7	2	6	0	3	10	26	6	13
	2	0	0	4	1	1	1	1	0	1
HMGB1P31	5	2	12	23	7	28	26	32	6	14
	0	0	0	1	1	0	0	0	0	0
SNRPEP4	4	1	12	297	10	18	7	32	7	29
RP11-12C17.2	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	16
	0	0	0	0	0	0	0	3	0	0
	0	0	0	1	5	0	0	0	0	0
GPX1	3181	13730	10722	51392	28915	6923	10533	7423	7282	11504
RP5-1030M6.3	0	0	0	7	0	0	0	0	0	0
RPS26P2	0	0	0	7	1	1	2	48	96	3
	0	0	0	0	0	0	0	0	0	0
MTND3P10	0	1	1	0	0	2	0	4	0	1
	1	1	2	62	3	2	1	3	0	7
RP11-760D2.5	4	0	0	3	9	0	1	8	0	0
	0	0	0	0	0	0	0	0	0	3
	0	0	0	0	0	0	0	0	0	0
	1	0	0	17	0	0	0	1	0	0
RP11-410N8.3	7	0	2	0	2	1	2	0	1	3
	2	0	0	0	2	0	12	2	0	1
AC092159.2	3	4	15	5	2	6	7	4	9	38
	3	9	7	12	14	8	9	7	2	7
	1	0	0	0	0	0	0	0	0	0
	0	0	0	2	0	2	0	1	0	2
	0	0	0	0	0	0	0	0	0	0
	6	0	2	0	4	4	8	1	2	3
	0	0	3	0	0	0	0	1	0	0
TRGV2	2	2	0	5	5	0	7	4	1	13
	0	0	0	0	0	2	0	0	0	0
OSTN-AS1	5	1	0	3	2	1	7	3	1	9
RPS6P12	2	0	0	0	0	14	7	3	0	5
	0	0	0	0	0	0	1	0	2	0
	6	1	33	9	6	0	4	0	1	10
	10	0	0	1	0	0	0	0	0	1
	0	0	0	0	0	0	0	1	0	0
	1	0	2	1	0	0	1	0	0	0
RP11-482E14.1	0	0	0	0	1	0	1	0	1	1
	0	0	1	4	2	1	1	3	0	11
MIPEPP3	28	77	69	46	55	21	35	18	37	90
USP32P2	13	0	58	2	1	28	13	1	18	0
PFN1P1	11	4	10	402	10	21	8	23	7	57
	0	0	0	0	0	0	0	0	0	0
RP1-12G14.7	9	2	7	28	15	14	10	7	17	15
RP4-799P18.2	0	4	4	39	3	4	1	4	16	1
	0	0	0	0	0	0	0	0	0	0
FAM53B-AS1	1	0	0	0	0	2	2	5	5	5
	0	0	0	1	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	8	9	27	8	7	35	30	8	12	25
TLR8-AS1	2	2	155	650	1	1	0	1	0	12
AC018878.3	0	0	0	0	0	0	0	1	0	0
RP11-25C19.3	1	0	0	0	0	0	0	0	0	3
	0	0	0	0	1	7	3	0	1	0
	0	0	0	0	0	0	1	0	0	0
ERP29P1	4	4	2	149	3	4	5	4	9	20
LINC00333	0	0	0	0	0	0	0	0	0	0
RP1-69D17.3	2	1	0	8	0	2	2	3	1	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
LINC00028	0	0	1	2	6	1	0	0	0	1
CHRM3-AS2	13	13	8	34	5	11	19	56	5	41
	0	0	0	0	0	0	0	0	0	1
RP1-209A6.1	6	0	0	3	1	0	0	0	6	2
RP11-202K23.1	0	0	0	0	0	1	0	22	0	107
Z83844.1	1	1	4	20	0	31	13	20	7	22
AC006019.4	0	0	0	0	0	0	0	0	0	0
RP4-655C5.4	0	0	1	1078	3	0	0	1	0	0
	0	0	0	0	0	0	0	1	0	0
RP11-307L3.4	0	0	0	0	1	1	0	1	0	1
GTF2IP4	77	226	114	846	346	256	486	255	761	458
	2	0	0	1	0	0	0	0	0	0
RP5-893G23.1	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	9	1	49	0	0	1	26	4	0	0
	0	0	0	0	0	0	0	0	0	0
RP11-318G21.4	12	0	0	38	0	1	0	0	0	71
RPS2P48	2	0	5	71	7	22	3	7	9	48
	3	0	0	15	2	0	7	0	14	1
NKAPP1	59	121	75	88	54	89	83	102	97	115
	0	1	0	0	0	1	1	0	0	0
	1	5	9	9	35	1	11	15	5	8
	0	0	0	0	0	0	0	0	0	0
RP11-342D11.3	0	0	0	1	2	0	1	2	0	1
	5	0	1	6	1	11	1	39	47	2
	10	3	9	4	3	1	4	4	3	10
AP000688.29	64	0	2	2	0	1	3	1	18	1
LINC00841	0	0	0	0	0	0	0	0	0	0
RP11-458D21.1	61	26	56	110	67	18	18	42	38	34
AC008063.3	0	0	0	5	1	6	0	0	0	3
RP11-111I12.1	0	0	0	1	1	0	0	0	0	0
	0	2	0	2	3	0	1	0	0	1
	0	0	0	1	0	0	0	0	0	0
RP11-86A5.1	0	0	0	0	0	0	0	0	0	0
LINC01046	0	0	0	0	0	0	0	0	0	0
	4	10	5	204	8	23	5	9	3	54
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
LINC01222	0	0	0	0	0	0	0	0	0	0
	0	11	9	9	6	6	3	16	4	5
	0	0	0	2	0	0	0	0	0	0
RP11-101E14.3	0	0	0	0	0	0	0	0	0	0
AC012065.5	0	0	6	2	2	1	4	0	0	4
	0	0	0	0	0	0	0	0	0	0
	0	0	0	7	1	0	2	0	1	2
	0	0	0	0	0	0	0	0	0	1
RP5-875O13.1	4	1	11	13	6	0	12	0	1	20
RP4-736H5.3	0	4	0	0	4	0	0	0	0	0
RP11-175I6.5	0	0	0	0	0	0	0	0	0	0
	0	1	0	7	0	1	1	0	0	0
EIF3FP3	156	227	30	938	32	61	112	306	396	538
RP1-212P9.3	7	0	2	4	7	0	2	3	3	1
	1	1	3	31	2	29	5	3	17	2
HOTAIRM1	44	36	35	98	119	473	402	319	443	463
	0	0	0	2	2	0	0	0	0	0
RP11-63N8.3	0	0	3	0	0	0	0	0	0	1
	3	3	3	93	0	4	1	17	1	12
	0	1	0	0	1	0	0	0	0	0
AGGF1P2	2	4	7	0	1	5	21	11	7	17
BTBD18	6	0	7	1	0	1	3	1	13	20
	0	0	0	0	0	0	0	0	0	0
AC109829.1	13	17	11	4	3	2	85	7	7	15
	0	0	0	7	0	0	0	0	0	1
CYP2AB1P	0	0	0	0	0	2	1	6	17	88
	0	0	0	0	0	0	0	1	1	0
	0	0	0	1	0	1	0	0	0	0
RPL17P11	0	0	0	0	0	0	8	33	21	7
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	3	0	3	0	4	2	1	5	21
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	1	0	0	0
STXBP5-AS1	11	9	7	135	139	112	46	47	27	35
	0	0	0	0	0	0	0	0	0	0
	0	1	3	0	0	0	8	21	121	0
LINC01077	0	0	0	0	0	0	0	4	3	2
	0	1	0	2	0	1	0	2	0	7
AC125238.2	0	1	0	5	2	3	0	0	2	1
	0	0	0	0	0	0	0	0	0	0
RP11-295G20.2	32	73	72	550	105	178	49	165	120	772
	0	0	0	0	0	0	0	0	0	0
U40455.1	0	2	1	38	1	3	4	1	4	10
	3	11	22	3	1	10	11	9	7	20
RP11-524K22.1	0	0	0	10	0	0	0	0	0	9
	0	0	0	3	0	2	0	1	0	3
	0	0	1	0	0	0	0	2	1	0
	0	0	2	2	0	1	2	1	0	49
EEF1A1P6	113	535	476	6602	1695	734	453	645	788	1108
	0	0	0	1	1	0	0	0	0	0
RP1-187B23.1	8	5	9	3	3	4	4	2	4	4
AC017074.1	0	0	0	0	1	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	0
	0	0	0	0	0	0	0	0	0	0
CTD-2020K17.4	11	64	56	34	44	71	50	79	34	98
	0	0	0	0	0	0	0	0	0	1
RP3-467K16.2	2	0	0	5	0	0	0	0	0	0
RPSAP69	41	10	22	25	8	18	30	11	9	2
	0	0	0	0	0	0	0	0	0	0
AC010091.1	0	0	1	82	10	0	1	3	0	12
	0	0	0	0	0	0	0	0	0	0
TMEM238	102	246	478	291	130	142	82	41	55	173
	0	0	0	0	0	0	0	0	0	0
	0	0	3	1	0	3	1	0	0	0
	0	4	0	4	0	1	0	0	0	7
	0	0	0	0	0	0	0	0	0	0
	0	0	0	1	1	0	0	0	0	0
AC104794.4	0	0	0	0	0	0	2	0	0	1
	0	0	0	20	4	4	2	7	6	21
RP1-269M15.3	79	35	155	1	0	0	0	0	18	0
ZNF197-AS1	8	6	3	11	9	2	16	29	6	14
	0	0	0	0	0	0	0	0	1	0
	4	3	3	126	0	2	1	10	3	5
LINC01518	69	0	0	82	0	13	172	3	0	347
	0	0	0	0	0	0	0	0	1	0
AC005162.5	1	1	0	0	0	0	10	3	0	0
	0	0	0	2	1	1	2	0	0	1
	0	0	0	0	0	0	0	0	0	0
RP5-1172A22.1	0	8	0	3	73	0	10	10	13	4
FAM224A	0	0	0	1	0	0	1	0	0	0
	1	3	0	1	1	0	2	0	0	0
RANP8	0	0	1	0	1	0	0	1	0	2
	0	0	0	0	0	0	0	0	0	0
ZNF529-AS1	79	75	35	148	61	94	191	275	307	78
	0	0	0	0	0	0	0	0	0	1
	0	0	0	2	3	0	1	1	0	0
	1	0	0	0	0	0	0	0	0	0
LINC00460	0	18	230	327	480	284	2	1	1	9
	0	1	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	1
RP1-122K4.2	0	0	0	2	0	0	0	0	3	0
RP11-867G2.5	16	0	0	0	1	21	36	0	0	38
	0	0	0	0	0	0	0	0	0	0
AC017104.2	0	0	1	2	0	4	0	1	1	6
AC011294.3	75	8	22	1	132	6	7	13	0	2
	0	0	3	5	2	1	0	2	1	0
RPL31P47	0	0	0	1	0	0	1	0	0	0
RP11-547D24.1	7	4	1	4	21	4	3	1	8	11
	0	3	1	8	1	0	0	1	1	3
	0	0	0	2	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
RP11-57H14.2	0	1	5	3	2	15	3	7	2	25
CYCSP44	0	0	0	4	1	0	0	0	0	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	1	0	0	0	0	0	1
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	1	0	0	0	0	0
B4GALT1-AS1	12	30	22	46	44	21	18	14	112	24
	0	0	0	0	0	0	0	7	0	0
	0	0	0	0	0	0	0	0	0	0
	4	2	4	38	6	4	3	6	12	16
AC016831.7	0	4	9	23	7	9	3	5	2	15
KRT8P39	15	8	8	44	2	11	18	77	12	57
	0	0	0	5	0	1	0	0	0	1
	0	0	0	0	0	0	2	0	0	0
	0	1	1	14	1	2	0	0	1	5
RP11-500B12.1	1	0	0	1	4	0	0	99	0	5
LINC00690	0	0	0	0	0	0	0	0	0	0
RP11-545D19.1	0	0	0	0	0	0	44	0	30	0
	0	0	0	0	0	0	0	2	0	0
	0	0	0	0	0	0	0	2	0	1
	0	0	0	0	0	0	14	3	2	1
RP3-462D8.2	1	0	0	0	1	0	0	4	0	1
	10	34	80	20	6	25	35	21	5	15
	1	0	0	4	1	3	0	0	3	12
	0	0	0	1	0	0	1	0	0	0
	0	0	0	5	0	0	1	0	1	2
	10	6	3	135	6	3	6	5	11	4
	1	1	9	1	3	0	6	2	0	3
	0	0	0	0	0	0	0	1	0	0
CYP51A1P2	4	1	1	72	21	25	11	16	9	7
RP4-694A7.2	2	0	0	4	0	6	8	19	20	217
RP11-153K11.3	3	0	3	1	0	1	3	1	0	0
RP4-665J23.1	11	85	70	208	155	112	148	73	102	390
	0	0	3	94	1	7	2	10	7	4
	0	0	0	0	0	0	0	0	0	1
	8	5	12	60	6	22	2	15	9	43
	0	0	0	0	0	0	1	0	0	0
	5	2	2	0	0	2	9	6	0	6
	0	0	1	1	0	0	2	1	1	0
AC073628.1	0	0	0	0	0	0	1	6	1	3
	0	0	0	0	0	0	0	0	0	0
LINC01392	0	0	0	1	3	4	0	1	1	2
TWIST2	20	33	111	77	377	75	178	91	148	394
	28	21	44	9	11	3	49	20	3	31
LINC00462	1	1	0	0	0	0	2	68	22	87
AC079135.1	0	0	0	1	0	0	0	5	1	0
DCUN1D2-AS	7	2	10	4	2	14	11	9	10	6
	1	0	1	2	4	2	1	2	2	6
	0	2	0	21	0	3	0	2	1	6
RP11-542K23.10	0	0	0	0	0	0	0	1	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
LINC01137	86	307	514	264	332	1246	151	120	68	170
CYP2T1P	370	38	81	29	194	36	67	40	39	70
	0	1	1	0	0	6	2	1	5	2
RP5-905G11.3	1	0	0	10	0	0	0	0	0	0
	0	6	5	1	1	6	1	2	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
AC093326.3	0	2	0	0	0	0	1	0	1	1
	0	0	0	0	0	0	0	0	0	0
	0	1	8	3	0	2	2	0	1	2
LINC01158	0	0	0	0	1	1	0	0	1	1
	0	0	0	0	0	0	0	0	0	0
GPR158-AS1	0	0	0	0	0	0	0	0	0	0
RP11-491H19.1	4	0	0	4	5	1	0	0	1	0
	0	0	0	0	2	0	0	0	0	0
RP11-431K24.4	0	0	1	0	0	0	0	0	0	0
	0	0	1	0	0	1	1	0	0	0
	0	0	4	0	0	0	1	0	1	1
	0	0	0	1	0	0	0	0	0	0
